book;author;genre;pages;readed;rating
Omnia in Omnibus;Lisa Pennings;Sciencefiction;166;2013-05-01;4
Het leven van Pi;Yann Martel;Roman;317;2020-10-01;4
Ze komt nooit meer terug;Hans Koppel;Thriller;220;2020-10-01;5
Vriendschapsverzoek;Laura Marshall;Thriller;368;2020-10-01;4
De analist;John Katzenbach;Thriller;518;2020-11-01;4
Komt een vrouw bij de hacker;Maria Genova;Thriller;224;2020-11-01;4
Niemand hoort het;Linwood Barclay;Thriller;304;2020-11-01;5
Lift;Linwood Barclay;Thriller;480;2020-11-01;3
Kijk niet weg;Linwood Barclay;Thriller;400;2020-12-01;5
Het duistere net;Carmen Mola;Thriller;415;2020-12-01;5
De 50/50-moorden;Steve Mosby;Thriller;344;2020-12-01;3
Zonder een woord;Linwood Barclay;Thriller;368;2021-01-01;5
Geen veilige plek;Linwood Barclay;Thriller;368;2021-01-01;3
Op slot;Chris McGeorge;Thriller;320;2021-01-01;5
Alles is eventueel / 1408;Stephen King;Thriller;462;2021-02-01;3
Waarom je niet zomaar moet stemmen waar je ouders op stemmen;Titia Hoogendoorn&Nienke Schuitemaker;Non-fictie;125;2021-02-01;4
Geloof je ogen;Linwood Barclay;Thriller;384;2021-02-01;4
Voor ik ga slapen;SJ Watson;Thriller;333;2021-03-01;5
Echo;Tamara Geraeds;Thriller;280;2021-03-01;5
Niemand vertellen;Harlan Coben;Thriller;302;2021-03-01;4
Ik zie je;Michael Berg;Thriller;320;2021-04-01;4
Toevluchtsoord;Jerome Loubry;Thriller;355;2021-04-01;5
In een donker donker bos;Ruth Ware;Thriller;320;2021-04-01;3
Een voor een;Ruth Ware;Thriller;368;2021-04-01;4
Vrees het ergste;Linwood Barclay;Thriller;400;2021-05-01;4
Het poppenhuis;W.R. Dantz;Thriller;270;2021-05-01;3
Malorie;Josh Malerman;Thriller;320;2021-05-01;4
Opgejaagd;Gabriel Bergmoser;Thriller;256;2021-06-01;4
Reset;Blake Crouch;Thriller;352;2021-06-01;4
Wacht maar af;Loes den Hollander;Thriller;300;2021-06-01;4
De Russische connectie;Gerrit Barendrecht;Thriller;320;2021-06-01;4
Wat jij niet ziet;M.J. Arlidge;Thriller;95;2021-07-01;3
Het ongeluk;Linwood Barclay;Thriller;382;2021-07-01;4
Slapen in een zee van sterren;Christopher Paolini;Sciencefiction;880;2021-07-01;2
Tik Tak;Chris McGeorge;Thriller;320;2021-07-01;4
Gegijzeld;Clare Mackintosh;Thriller;397;2021-08-01;5
Eindbestemming;Marjolein van der Gaag&Marcella Kleine;Thriller;158;2021-08-01;4
Een kille rilling;Bernard Minier;Thriller;582;2021-09-01;4
De nachtdienst;Esther Verhoef;Thriller;365;2021-09-01;5
Kiekeboe;Chris McGeorge;Thriller;352;2021-10-01;3
Noorderlicht;Mariska Overman;Thriller;313;2021-10-01;4
De kleine getuige;Jilliane Hoffman;Thriller;368;2021-11-01;4
De marathon;Stephen King;Thriller;261;2021-11-01;4
Het appartement;Tatiana de Rosnay;Roman;215;2021-11-01;4
De intrigant;Patricia Snel;Thriller;189;2021-12-01;4
Een schuldig huis;Robert Goddard;Thriller;384;2021-12-01;5
Te koop;Eva Monte;Thriller;350;2021-12-01;3
Prison Break S1B1;Paul T. Scheuring;Thriller;221;2022-01-01;5
Prison Break S1B2;Ed van Eeden;Thriller;272;2022-01-01;4
Prison Break S1B3;Paul T. Scheuring;Thriller;285;2022-01-01;4
Herfstlied;Simone van der Vlugt;Thriller;277;2022-02-01;5
De gastenlijst;Lucy Foley;Thriller;352;2022-02-01;2
Anomalie;Herve le Tellier;Thriller;302;2022-02-01;2
Prison Break S2B1;Paul T. Scheuring;Thriller;207;2022-03-01;4
Prison Break S2B2;Paul T. Scheuring;Thriller;205;2022-03-01;4
Prison Break S2B3;Paul T. Scheuring;Thriller;245;2022-03-01;4
Ik weet je wachtwoord;Daniel Verlaan;Non-fictie;347;2022-04-01;5
De vrouw die een jaar in bed ging liggen;Sue Townsend;Roman;368;2022-04-01;3
Moord in de bibliotheek;Agatha Christie;Thriller;256;2022-04-01;3
Geestdrift;Daniel Hecht;Thriller;509;2022-05-01;1
Moord in de Orient Expres;Agatha Christie;Thriller;222;2022-05-01;4
Crash;Jack Bowman;Thriller;344;2022-05-01;3
Erken mij;Esther Verhoef;Thriller;91;2022-06-01;4
Gestrand;Sarah Goodwin;Thriller;352;2022-06-01;5
